id;company;from_lat;from_lan;to_lat;to_lan;distance;depart;duration;driver_sex;driver_age;price
0;1;33.3699749;-7.5879118000000005;34.2296268;-6.528318;136.87394176461999;07:50;47.0;1;0;66.0
1;1;33.3699749;-7.5879118000000005;34.2296268;-6.528318;136.87394176461999;07:50;90.0;1;0;50.0
2;1;33.3699749;-7.5879118000000005;34.2296268;-6.528318;136.87394176461999;11:50;47.0;1;0;66.0
3;1;33.3699749;-7.5879118000000005;34.2296268;-6.528318;136.87394176461999;11:50;90.0;1;0;50.0
4;1;33.3699749;-7.5879118000000005;34.2296268;-6.528318;136.87394176461999;16:50;47.0;1;0;66.0
5;1;33.3699749;-7.5879118000000005;34.2296268;-6.528318;136.87394176461999;16:50;90.0;1;0;50.0
6;1;33.3699749;-7.5879118000000005;33.940302;-5.2080519999999995;229.28611066151265;07:50;253.0;1;0;158.0
7;1;33.3699749;-7.5879118000000005;33.940302;-5.2080519999999995;229.28611066151265;11:50;250.0;1;0;180.0
8;1;33.3699749;-7.5879118000000005;32.235966999999995;-7.946685;130.51896598247203;07:50;160.0;1;0;128.0
9;1;33.3699749;-7.5879118000000005;32.235966999999995;-7.946685;130.51896598247203;11:50;160.0;1;0;144.0
10;1;33.3699749;-7.5879118000000005;32.235966999999995;-7.946685;130.51896598247203;16:50;160.0;1;0;128.0
11;1;33.3699749;-7.5879118000000005;33.26767460000001;-7.5811465;11.396206595046506;07:50;75.0;1;0;69.0
12;1;33.3699749;-7.5879118000000005;33.26767460000001;-7.5811465;11.396206595046506;11:50;75.0;1;0;73.0
13;1;33.3699749;-7.5879118000000005;33.26767460000001;-7.5811465;11.396206595046506;11:50;102.0;1;0;69.0
14;1;33.3699749;-7.5879118000000005;33.26767460000001;-7.5811465;11.396206595046506;16:50;75.0;1;0;69.0
15;1;33.3699749;-7.5879118000000005;33.781005;-7.161029400000001;60.458162614041775;07:50;113.0;1;0;74.0
16;1;33.3699749;-7.5879118000000005;33.781005;-7.161029400000001;60.458162614041775;16:50;113.0;1;0;74.0
17;1;33.3699749;-7.5879118000000005;33.599382500000004;-7.6123131;25.617181838974105;07:50;46.0;1;0;50.0
